*	~	         9	       172	233,98080	0,00195098	139		1,00
*	~	        11	       170	212,64939	0,00818714	82		0,94
*	~	        16	       167	346,30141	8,75404e-07	127		1,00
*	~	        23	        96	473,43243	1,3848e-10	69		0,92
*	~	        24	        95	312,87863	8,80955e-06	79		0,94
*	~	        25	        93	384,17836	6,44712e-08	100		0,98
*	~	        26	        91	623,69792	4,23024e-15	157		1,00
*	~	        27	        90	562,03150	3,02257e-13	162		1,00
*	~	        28	        89	565,60608	2,30713e-13	158		1,00
*	~	        30	        88	488,24665	4,96821e-11	129		1,00
*	~	        38	        80	332,60325	2,24138e-06	47		0,86
*	~	        42	        75	407,12534	1,31696e-08	93		0,96
*	~	        43	        73	354,14434	5,11416e-07	51		0,87
*	~	        53	        72	561,58001	3,10532e-13	54		0,88
*	~	        63	        70	276,65268	0,000103588	34		0,79
*	~	       100	       162	291,09324	3,84759e-05	104		0,98
*	~	       101	       160	293,17847	3,36532e-05	113		0,99
*	~	       112	       149	349,55599	7,06065e-07	61		0,90
*	~	       115	       136	529,63013	2,84291e-12	125		1,00
*	~	       116	       135	313,72611	8,12841e-06	92		0,96
*	~	       119	       134	214,25852	0,00736353	100		0,98
*	~	       121	       133	188,19529	0,0432241	108		0,99
